id,name,type,lat,lon
N1,Place des Martyrs (Metro),metro,36.7856739,3.0595851
N2,Ali Boumendjel,metro,36.7793612,3.0554862
N3,Tafourah Grande Poste,metro,36.7729504,3.0584352
N4,Khelifa Boukhalfa,metro,36.7655941,3.0502805
N5,1er Mai (Metro),metro,36.7603444,3.0590622
N6,Aissat Idir (Metro),metro,36.7570656,3.0613676
N7,Hamma,metro,36.7530634,3.0660551
N8,Jardin d Essais,metro,36.7484085,3.0709071
N9,Les Fusilles,metro,36.7423442,3.0821438
N10,Amirouche,metro,36.7380453,3.094621
N11,Mer et Soleil,metro,36.7337701,3.095925
N12,Hai El Badr (Metro),metro,36.725436,3.0997352
N13,Bachdjarah Tennis,metro,36.7180875,3.1062019
N14,Bachdjarah (Metro),metro,36.7212269,3.1144823
N15,El Harrach Gare,metro,36.7215178,3.1279905
N16,El Harrach Centre,metro,36.7224658,3.1369507
N17,Station des Ateliers,metro,36.7148434,3.0979702
N18,Gue de Constantine,metro,36.7098206,3.0883166
N19,Ain Naadja Metro,metro,36.7056471,3.0800782
N20,Place 1er Mai (Bus),bus,36.7600904,3.0518486
N21,Place des Martyrs (Bus),bus,36.7866591,3.0598889
N22,Place Audin,bus,36.7692454,3.0523699
N23,Place Aissat Idir (Bus),bus,36.7569725,3.0591263
N24,Gare Routiere,bus,36.7437064,3.1018647
N25,Station 2 Mai,bus,36.7651212,3.0555652
N26,Grande Poste Bus,bus,36.7725907,3.0580321
N27,Bachdjarah (Bus),bus,36.721398,3.1155474
N28,El Harrach Bus,bus,36.7215452,3.1356422
N29,Hai El Badr (Bus),bus,36.7247688,3.1014614
N30,Baraki,bus,36.6732592,3.0861148
N31,Eucalyptus,bus,36.6605334,3.1549701
N32,Dergana,bus,36.7773066,3.2447855
N33,Rouiba,bus,36.7404564,3.2837829
N34,Zeralda ,bus,36.7130577,2.8349928
N35,Sidi Abd Allah,bus,36.6903526,2.8526478
N36,Ben Aknoun,bus,36.7529778,3.0057505
N37,Chevalley,bus,36.7693958,3.0059946
N38,Bouzareah,bus,36.790857,3.0165799
N39,Place Ferhani,bus,36.7943818,3.0526682
N40,El Annasser,bus,36.7428125,3.0866344
N41,Basta Ali,bus,36.7919837,3.0524754
N42,Cité Abziou 1,bus,36.6897737,2.9368958
N43,Ben Omar,bus,36.7263633,3.0800199
N45,Station Kouba,bus,36.7296157,3.0722859
N46,Bir Mourad Rais,bus,36.739341,3.0491378
N47,El Madania,bus,36.7421759,3.0647259
N48,El Afia Garidi,bus,36.7356376,3.0629483
N49,Bir Khadem,bus,36.7184692,3.0439703
N50,Ain Naadja Bus,bus,36.7065499,3.0783466
N51,Hydra,bus,36.747592,3.0389374
N52,Ain Benian,bus,36.8015145,2.9107389
N53,Ardis,bus,36.7393849,3.1371097
N54,Aeroport Alger,bus,36.7021439,3.2027358
N55,Ain El Malha,bus,36.690989,3.0565443
N56,Djenane Sfari Birkhadem,bus,36.684499,3.0572619
N57,Oued Koriche,bus,36.7853412,3.0419831
N58,Staoueli,bus,36.7575125,2.8859741
N59,El Mouradia,bus,36.7491709,3.0481525
N60,Palais du Peuple,bus,36.7590102,3.0435432
N61,Bouchaoui,bus,36.7412746,2.9126746
N62,Sidi Youcef,bus,36.784022,2.9553773
N63,Ouled Fayet,bus,36.7307925,2.9420572
N64,Ain Allah,bus,36.7485391,2.991554
N65,Hopital Militaire,bus,36.7228813,3.0638432
N66,Rais Hamidou,bus,36.8171872,3.0070159
N67,Bab Ezzouar,bus,36.7170435,3.1957532
N68,Sidi Mhamed,bus,36.7592272,3.0446922
N69,Sidi Moussa,bus,36.6094201,3.0996972
N70,Reghaia,bus,36.7393237,3.335231
N71,Ain Taya,bus,36.7929807,3.2904525
N72,Borj El Bahri,bus,36.7767233,3.248182
N73,El Kerrouch,bus,36.7388658,3.3301036
N74,Alger Plage,bus,36.7783978,3.2375043
N75,Hai El Mahdjer,bus,36.8131914,3.2329861
N76,Birtouta,bus,36.6464325,2.9834067
N77,Benchoubane Centre,bus,36.703382,3.2797375
N78,Zone Industrielle Rouiba,bus,36.7208969,3.2983635
N79,Tessala El Merdja,bus,36.6277718,2.8992954
N80,Diar Es Saada,bus,36.7449584,3.0565121
N81,Cité Abziou 2 Douera,bus,36.6873833,2.9440718
N82,Baba Hassen,bus,36.6948339,2.9640307
N83,Ouled Chbel,bus,36.604861,2.9286538
N84,Cité Chaibia,bus,36.6236475,2.9916832
N85,Cité 1200 Logts,bus,36.7045048,3.0801444
N86,Ed Dalia,bus,36.6684691,3.1665858
N89,Cité 1540 Logts,bus,36.7548227,3.2471057
N90,Baraki Ronda,bus,36.625284,3.1207625
N93,Ben Zerga,bus,36.7658245,3.245601
N96,Chateauneuf,bus,36.7685035,3.0177902
N100,Sidi abd allah Train(bus),bus,36.691605,2.87098
N103,Cité Aslan Atlas,bus,36.6765207,2.8419289
N104,Sidi Bennour,bus,36.6504724,2.8657976
N108,Plateau Ain Benian,bus,36.7098495,2.9263708
T1,حي مختار زرهوني,tram,36.729478,3.174324
T2,الإقامة الجامعية - ح ج ب 1,tram,36.732251,3.184065
T3,باب الزوار - الجسر,tram,36.724346,3.184784
T4,جامعة باب الزوار,tram,36.72081,3.179575
T5,حي رابية,tram,36.724481,3.17697
T6,حي المندرين,tram,36.732554,3.173294
T7,الصنوبر,tram,36.732199,3.167029
T8,قصر المعارض,tram,36.731269,3.161369
T9,الديار الخمس,tram,36.725881,3.150803
T10,بكري بوقرة,tram,36.727811,3.143435
T11,جسر الحراش,tram,36.730278,3.13016
T12,طرابلس - المقرية,tram,36.737032,3.113677
T13,طرابلس - حمداش,tram,36.740719,3.10409
T14,طرابلس - المسجد,tram,36.743263,3.097413
T15,المعدومين,tram,36.745993,3.086813
T16,برج الكيفان - العيادة,tram,36.74816,3.197076
T17,برج الكيفان - وسط,tram,36.747025,3.191002
T18,برج الكيفان - الثانوية,tram,36.745327,3.187668
T19,حي الصباح,tram,36.740974,3.18609
T20,حي 8 ماي 1945,tram,36.737328,3.184909
T21,العناصر,tram,36.742878,3.083489
T22,حي 5 جويلية,tram,36.721527,3.182819
T23,موحوس,tram,36.749304,3.206485
T24,الهواء الجميل,tram,36.732817,3.124631
T25,الخروبة,tram,36.735714,3.118177
T26,Bellevue,tram,36.729498,3.136052
T27,طرابلس- الثعالبية,tram,36.745218,3.092295
T28,بن زرقة,tram,36.773041,3.245156
T29,ميموني محمود,tram,36.750314,3.211992
T30,بن مرابط,tram,36.753567,3.220095
T31,سيدي ادريس,tram,36.766032,3.238426
T32,مقهى شرقي,tram,36.777453,3.250164
T33,بن مراد,tram,36.758991,3.229404
T34,الحي الدبلوماسي,tram,36.773957,3.259356
T35,درڨانة وسط,tram,36.771973,3.260306
T36,جامعة درقانة,tram,36.777701,3.258862
T37,Caroubier - Centre Équestre,tram,36.735744,3.119397
T38,La Glacière,tram,36.733478,3.124135
T40,بن رضوان,tram,36.755438,3.224216
I135,Tafourah Grande Poste / Grande Poste Bus,intersection,36.772698,3.058776
I136,الهواء الجميل / La Glacière,intersection,36.734513,3.122226
I137,Bachdjarah (Metro) / Bachdjarah (Bus),intersection,36.723779,3.115004
I138,Palais du Peuple / Sidi Mhamed,intersection,36.758842,3.04425
I139,الخروبة / Caroubier - Centre Équestre,intersection,36.736113,3.118711
I140,Place des Martyrs (Metro) / Place des Martyrs (Bus),intersection,36.786168,3.059735
I141,Ain Naadja Metro / Cité 1200 Logts,intersection,36.705131,3.079707
I142,Les Fusilles / العناصر,intersection,36.742934,3.082671
I143,Hai El Badr (Metro) / Hai El Badr (Bus),intersection,36.724534,3.101334
I144,Ain Naadja Metro / Ain Naadja Bus,intersection,36.705814,3.078515
I145,Borj El Bahri / مقهى شرقي,intersection,36.777569,3.24922
I146,Aissat Idir (Metro) / Place Aissat Idir (Bus),intersection,36.755052,3.060383
I147,الحي الدبلوماسي / درڨانة وسط,intersection,36.772662,3.259478
I148,Place Ferhani / Basta Ali,intersection,36.793195,3.052893
I149,Ain Naadja Bus / Cité 1200 Logts,intersection,36.706012,3.07894
I150,El Annasser / العناصر,intersection,36.743392,3.085144
I151,جامعة باب الزوار / حي 5 جويلية,intersection,36.719534,3.180828
I152,Dergana / Borj El Bahri,intersection,36.778694,3.246918
I153,برج الكيفان - وسط / برج الكيفان - الثانوية,intersection,36.746522,3.189022
I154,El Annasser / المعدومين,intersection,36.743975,3.084759
I155,حي مختار زرهوني / حي المندرين,intersection,36.731339,3.174267
I156,باب الزوار - الجسر / حي 5 جويلية,intersection,36.722884,3.184252
I157,1er Mai (Metro) / Place Aissat Idir (Bus),intersection,36.758629,3.057374
I158,Gare Routiere / طرابلس - حمداش,intersection,36.742219,3.102228
I159,Gare Routiere / طرابلس - المسجد,intersection,36.741601,3.101606
I160,Les Fusilles / El Annasser,intersection,36.743572,3.084323
I161,1er Mai (Metro) / Aissat Idir (Metro),intersection,36.758641,3.06083
I162,الحي الدبلوماسي / جامعة درقانة,intersection,36.776165,3.259353
I163,حي الصباح / حي 8 ماي 1945,intersection,36.739131,3.185309
I164,بن مرابط / بن رضوان,intersection,36.754556,3.222054
I165,طرابلس - المقرية / الخروبة,intersection,36.735953,3.116392
I166,Khelifa Boukhalfa / Place Audin,intersection,36.767508,3.051917
I167,المعدومين / العناصر,intersection,36.744426,3.085237
I168,Reghaia / El Kerrouch,intersection,36.739485,3.332346
I169,جامعة باب الزوار / حي رابية,intersection,36.722505,3.177953
I170,Khelifa Boukhalfa / Station 2 Mai,intersection,36.765603,3.052833
I171,Dergana / مقهى شرقي,intersection,36.778662,3.247375
I172,Amirouche / Mer et Soleil,intersection,36.735603,3.096061
I173,Caroubier - Centre Équestre / La Glacière,intersection,36.734845,3.12193
I174,المعدومين / طرابلس- الثعالبية,intersection,36.746399,3.089069
I175,برج الكيفان - الثانوية / حي الصباح,intersection,36.743151,3.186773
I176,طرابلس - المسجد / طرابلس- الثعالبية,intersection,36.744917,3.094533
I177,الصنوبر / قصر المعارض,intersection,36.731522,3.164359
I178,طرابلس - المقرية / Caroubier - Centre Équestre,intersection,36.735755,3.116948
I179,جسر الحراش / Bellevue,intersection,36.729484,3.133817
I180,Place Audin / Station 2 Mai,intersection,36.767259,3.053607
